gene,baseMean,log2FoldChange,lfcSE,pvalue,padj,entrez_id,description,
CDCA8,1894.844057,-3.463662006,0.06993591,0,0,55143,cell division cycle associated 8,
CDC20,6282.636887,-2.853754647,0.070218198,0,0,991,cell division cycle 20,
KIF2C,1981.576999,-3.34612309,0.082640955,0,0,11004,kinesin family member 2C,
NES,6116.478198,-2.067325136,0.055099875,0,0,10763,nestin,
NUF2,1662.559547,-3.454903416,0.073332421,0,0,83540,NUF2 component of NDC80 kinetochore complex,
NEK2,1072.890873,-3.159384246,0.082409702,0,0,4751,NIMA related kinase 2,
DTL,2276.113091,-3.538664182,0.080256659,0,0,51514,denticleless E3 ubiquitin protein ligase homolog,
EXO1,2037.767395,-3.371807455,0.072389362,0,0,9156,exonuclease 1,
NCAPH,1925.920758,-3.70592399,0.083920604,0,0,23397,non-SMC condensin I complex subunit H,
BUB1,3859.695696,-3.170093809,0.071605485,0,0,699,BUB1 mitotic checkpoint serine/threonine kinase,
CKAP2L,1181.263055,-3.417573231,0.086611768,0,0,150468,cytoskeleton associated protein 2 like,
ITGA6,6017.42784,-2.390380811,0.057511184,0,0,3655,integrin subunit alpha 6,
SGO2,1432.023205,-2.826667066,0.073894202,0,0,151246,shugoshin 2,
HJURP,2043.070813,-3.785336986,0.066950643,0,0,55355,Holliday junction recognition protein,
PLCD1,1086.405345,3.49457473,0.090569187,0,0,5333,phospholipase C delta 1,
KIAA1524,2294.974719,-2.77332729,0.062017738,0,0,NA,NA,
NCAPG,1715.796665,-3.322720573,0.074212848,0,0,64151,non-SMC condensin I complex subunit G,
CCNG2,1967.557787,3.362508196,0.070283338,0,0,901,cyclin G2,
CENPE,2059.768925,-3.27518924,0.080759991,0,0,1062,centromere protein E,
MAD2L1,1335.979618,-3.015543885,0.075716946,0,0,4085,mitotic arrest deficient 2 like 1,
CCNA2,1681.422331,-3.468023749,0.068699235,0,0,890,cyclin A2,
PLK4,1027.889723,-2.794830663,0.072379102,0,0,10733,polo like kinase 4,
TRIP13,3092.982836,-2.81974368,0.070831477,0,0,9319,thyroid hormone receptor interactor 13,
CCNB1,8580.491937,-2.868145908,0.061198343,0,0,891,cyclin B1,
TCOF1,7007.775885,-2.730542712,0.072131979,0,0,6949,treacle ribosome biogenesis factor 1,
HMMR,2127.44712,-3.261621421,0.066140304,0,0,3161,hyaluronan mediated motility receptor,
KIFC1,1785.12673,-3.499451773,0.090553311,0,0,3833,kinesin family member C1,
TTK,1321.775622,-3.2566423,0.079605479,0,0,7272,TTK protein kinase,
XRCC2,1379.093074,-3.474503418,0.083326303,0,0,7516,X-ray repair cross complementing 2,
CDCA2,1339.891491,-3.267400493,0.074155972,0,0,157313,cell division cycle associated 2,
PBK,1353.957134,-3.4954887,0.089288973,0,0,55872,PDZ binding kinase,
MCM10,1431.369591,-4.036802121,0.102344285,0,0,55388,minichromosome maintenance 10 replication initiation factor,
CDK1,2973.591512,-3.598402519,0.093376871,0,0,983,cyclin dependent kinase 1,
CEP55,2662.474901,-3.03635727,0.067163982,0,0,55165,centrosomal protein 55,
CDCA5,3195.713795,-2.906886819,0.060584405,0,0,113130,cell division cycle associated 5,
FOSL1,6211.231812,-4.383276841,0.102583102,0,0,8061,"FOS like 1, AP-1 transcription factor subunit",
DDIAS,1439.800684,-3.365796032,0.072580739,0,0,220042,DNA damage induced apoptosis suppressor,
ESPL1,1994.065526,-3.340189908,0.083917863,0,0,9700,"extra spindle pole bodies like 1, separase",
CALCOCO1,4466.017822,1.970577675,0.052212928,0,0,57658,calcium binding and coiled-coil domain 1,
TMPO,3310.851372,-2.214028829,0.055915414,0,0,7112,thymopoietin,
SKA3,1373.432038,-3.377102993,0.074476521,0,0,221150,spindle and kinetochore associated complex subunit 3,
CDKN3,1369.669514,-3.176246503,0.078741875,0,0,1033,cyclin dependent kinase inhibitor 3,
DLGAP5,2249.749544,-3.498448203,0.0845583,0,0,9787,DLG associated protein 5,
BUB1B,1908.907043,-3.347200052,0.0825027,0,0,701,BUB1 mitotic checkpoint serine/threonine kinase B,
CASC5,1187.215949,-3.492043641,0.083381116,0,0,NA,NA,
KIF23,3434.235473,-3.082953709,0.074559959,0,0,9493,kinesin family member 23,
FANCI,3037.251021,-2.490749292,0.06415875,0,0,55215,FA complementation group I,
KIF22,2872.01425,-2.142373174,0.054842781,0,0,3835,kinesin family member 22,
SHCBP1,2874.946763,-2.986004995,0.068956703,0,0,79801,SHC binding and spindle associated 1,
GINS2,1606.104232,-2.725393238,0.071743697,0,0,51659,GINS complex subunit 2,
AURKB,3446.915623,-3.41378213,0.074889728,0,0,9212,aurora kinase B,
CDC6,2812.771472,-3.013503829,0.074036526,0,0,990,cell division cycle 6,
ETV4,807.8752923,-3.80363204,0.099493916,0,0,2118,ETS variant transcription factor 4,
KIF18B,1843.361774,-4.193740894,0.098442075,0,0,146909,kinesin family member 18B,
KPNA2,9704.81964,-2.7910974,0.052660735,0,0,3838,karyopherin subunit alpha 2,
BIRC5,3339.182177,-3.399904419,0.065897033,0,0,332,baculoviral IAP repeat containing 5,
SKA1,779.3899648,-3.128975093,0.083524601,0,0,220134,spindle and kinetochore associated complex subunit 1,
SLC44A2,24881.07518,2.584451034,0.064443647,0,0,57153,solute carrier family 44 member 2 (CTL2 blood group),
ASF1B,1996.938135,-2.98277891,0.070196899,0,0,55723,anti-silencing function 1B histone chaperone,
PCNA,7246.342896,-2.40461031,0.06046891,0,0,5111,proliferating cell nuclear antigen,
TPX2,9137.865879,-3.052741637,0.078081315,0,0,22974,TPX2 microtubule nucleation factor,
FAM83D,2758.010261,-3.426046346,0.077908483,0,0,81610,family with sequence similarity 83 member D,
AURKA,3310.219777,-2.864230049,0.073977185,0,0,6790,aurora kinase A,
CDC45,1976.764471,-2.973157563,0.075965889,0,0,8318,cell division cycle 45,
GTSE1,1577.876419,-3.401938061,0.084808208,0,0,51512,G2 and S-phase expressed 1,
MAGED2,15686.00706,2.029883498,0.050880558,0,0,10916,MAGE family member D2,
KIF4A,2847.679762,-3.216507043,0.078074238,0,0,24137,kinesin family member 4A,
ERCC6L,1162.446188,-3.738733462,0.082654076,0,0,54821,"ERCC excision repair 6 like, spindle assembly checkpoint helicase",
ZWINT,3988.781679,-2.251375169,0.060112277,5.44E-308,2.08E-305,11130,ZW10 interacting kinetochore protein,
POLA2,1907.418905,-2.342625448,0.062683402,1.10E-306,4.14E-304,23649,"DNA polymerase alpha 2, accessory subunit",
BRCA1,2825.950404,-2.566854398,0.0688914,6.96E-305,2.59E-302,672,BRCA1 DNA repair associated,
NDC80,1050.12001,-3.629368458,0.097879909,7.39E-302,2.71E-299,10403,NDC80 kinetochore complex component,
ARHGAP11A,2828.118761,-2.873564887,0.077654715,7.94E-301,2.87E-298,9824,Rho GTPase activating protein 11A,
PSG4,4248.134237,2.425946948,0.065652128,5.95E-300,2.12E-297,5672,pregnancy specific beta-1-glycoprotein 4,
MYBL2,6545.718176,-2.453882713,0.067396423,3.83E-291,1.35E-288,4605,MYB proto-oncogene like 2,
NUSAP1,2729.932465,-2.943967953,0.081126907,2.93E-290,1.02E-287,51203,nucleolar and spindle associated protein 1,
TROAP,1853.895197,-2.713055333,0.074681546,3.89E-290,1.33E-287,10024,trophinin associated protein,
BLM,699.3012674,-3.282713532,0.090465109,2.09E-289,7.08E-287,641,BLM RecQ like helicase,
KIF15,1306.83106,-3.638368526,0.100240903,2.28E-289,7.61E-287,56992,kinesin family member 15,
FANCA,1622.978738,-2.527237219,0.06968192,3.78E-289,1.25E-286,2175,FA complementation group A,
ORC6,1354.90724,-2.882721466,0.079912992,4.57E-286,1.49E-283,23594,origin recognition complex subunit 6,
RACGAP1,4896.188829,-2.382048657,0.066081273,1.44E-285,4.62E-283,29127,Rac GTPase activating protein 1,
KIF11,2801.447245,-2.935890951,0.081521464,4.76E-285,1.51E-282,3832,kinesin family member 11,
LMNB1,2963.344973,-3.022449029,0.083984103,1.07E-284,3.36E-282,4001,lamin B1,
CCND1,7388.20771,-4.124621092,0.114691479,1.58E-284,4.92E-282,595,cyclin D1,
CCNB2,1916.825924,-2.684216195,0.074748043,1.82E-283,5.58E-281,9133,cyclin B2,
TOP2A,12969.46285,-3.806010506,0.106082471,4.89E-283,1.48E-280,7153,DNA topoisomerase II alpha,
ATAD2,3587.405112,-2.442341027,0.068245828,1.64E-281,4.90E-279,29028,ATPase family AAA domain containing 2,
TICRR,753.0241367,-3.072619034,0.085906331,4.03E-281,1.20E-278,90381,TOPBP1 interacting checkpoint and replication regulator,
TCF19,2362.823209,-2.521719723,0.070534677,4.93E-281,1.45E-278,6941,transcription factor 19,
MAP2,1079.14393,3.36926244,0.094279152,1.04E-280,3.01E-278,4133,microtubule associated protein 2,
NUPR1,2444.56602,2.590055607,0.072723293,7.13E-279,2.05E-276,26471,"nuclear protein 1, transcriptional regulator",
KLHL24,1923.225619,2.60789381,0.073466406,4.84E-277,1.37E-274,54800,kelch like family member 24,
ORC1,880.3648614,-3.291068006,0.092884475,4.98E-276,1.40E-273,4998,origin recognition complex subunit 1,
IQGAP3,3344.612154,-2.677879124,0.076323083,9.22E-271,2.56E-268,128239,IQ motif containing GTPase activating protein 3,
ABHD4,8702.970119,2.336906339,0.066670087,2.95E-270,8.11E-268,63874,"abhydrolase domain containing 4, N-acyl phospholipase B",
PIF1,535.9661853,-4.256130456,0.121402589,5.16E-270,1.40E-267,80119,PIF1 5'-to-3' DNA helicase,
MUC1,5722.125533,4.359855134,0.124763383,8.93E-269,2.41E-266,4582,"mucin 1, cell surface associated",
PTTG1,2754.463149,-2.683142179,0.076848853,3.45E-268,9.20E-266,9232,"PTTG1 regulator of sister chromatid separation, securin",
SPAG5,3752.29964,-3.124544222,0.090171383,3.65E-264,9.63E-262,10615,sperm associated antigen 5,
GINS1,1264.912995,-2.393024118,0.069589671,4.12E-260,1.08E-257,9837,GINS complex subunit 1,
PLK1,4062.237257,-3.250189693,0.094823219,1.36E-258,3.51E-256,5347,polo like kinase 1,
KIF20B,1997.793769,-2.888903119,0.084342384,3.86E-258,9.88E-256,9585,kinesin family member 20B,
CLSPN,878.6396226,-3.496363254,0.102267039,4.39E-257,1.11E-254,63967,claspin,
CENPA,984.795823,-3.122704701,0.091445011,1.01E-256,2.54E-254,1058,centromere protein A,
CDCA3,1403.636636,-3.387629172,0.099238867,1.36E-256,3.39E-254,83461,cell division cycle associated 3,
ASPM,1812.9554,-3.476622444,0.101863291,2.56E-256,6.31E-254,259266,assembly factor for spindle microtubules,
ANLN,15289.12468,-2.842450857,0.083305099,2.91E-256,7.11E-254,54443,"anillin, actin binding protein",
FEN1,4047.001844,-2.161737701,0.063468964,2.71E-255,6.56E-253,2237,flap structure-specific endonuclease 1,
PIK3IP1,726.9614884,3.533474419,0.105449051,3.68E-247,8.83E-245,113791,phosphoinositide-3-kinase interacting protein 1,
DEPDC1B,868.1276519,-3.052038939,0.091314603,6.25E-246,1.49E-243,55789,DEP domain containing 1B,
MYEOV,812.3401905,-5.451452437,0.163363721,3.46E-245,8.16E-243,26579,myeloma overexpressed,
STK32A,942.774901,3.194109883,0.095774136,7.45E-245,1.74E-242,202374,serine/threonine kinase 32A,
CCNF,1729.98285,-2.400820229,0.072061117,2.14E-244,4.94E-242,899,cyclin F,
NDC1,1947.397643,-1.948990624,0.05859328,1.50E-243,3.45E-241,55706,NDC1 transmembrane nucleoporin,
TSC22D3,1968.123698,2.093307301,0.062988864,3.90E-243,8.88E-241,1831,TSC22 domain family member 3,
TYMS,1479.502135,-3.030695176,0.091274131,6.44E-243,1.45E-240,7298,thymidylate synthetase,
ESCO2,552.3712675,-3.295808703,0.099640415,5.54E-241,1.24E-238,157570,establishment of sister chromatid cohesion N-acetyltransferase 2,
DEPDC1,784.0119699,-3.632365076,0.109790245,6.06E-241,1.34E-238,55635,DEP domain containing 1,
FAM111B,978.5303657,-3.036630292,0.091826195,7.03E-241,1.55E-238,374393,FAM111 trypsin like peptidase B,
PHF19,2493.728104,-2.223166585,0.067235367,9.33E-241,2.03E-238,26147,PHD finger protein 19,
STAT2,5177.772248,2.145440759,0.064892464,1.05E-240,2.27E-238,6773,signal transducer and activator of transcription 2,
HSD17B14,665.2169529,3.152328775,0.095538201,1.05E-239,2.26E-237,51171,hydroxysteroid 17-beta dehydrogenase 14,
FAM64A,1187.808812,-3.142550888,0.095310886,1.85E-239,3.94E-237,NA,NA,
SPP1,1137.65116,2.604933106,0.079095183,6.81E-239,1.44E-236,6696,secreted phosphoprotein 1,
WDR76,825.9273588,-2.596740895,0.078964679,3.58E-238,7.50E-236,79968,WD repeat domain 76,
MCM3,5257.181217,-2.208045008,0.067153508,3.86E-238,8.03E-236,4172,minichromosome maintenance complex component 3,
CENPU,1097.007777,-2.547840417,0.077819726,3.64E-236,7.51E-234,79682,centromere protein U,
WDR62,994.2925035,-3.552485174,0.109200135,2.48E-233,5.08E-231,284403,WD repeat domain 62,
NT5E,6198.537329,-2.729974907,0.084084139,2.52E-232,5.11E-230,4907,5'-nucleotidase ecto,
CENPI,890.2190378,-2.897619375,0.089311304,6.98E-232,1.41E-229,2491,centromere protein I,
C1RL,1186.753882,2.218680139,0.068412936,1.05E-231,2.10E-229,51279,complement C1r subcomponent like,
FANCD2,2207.962778,-2.372144218,0.073525685,2.26E-229,4.49E-227,2177,FA complementation group D2,
ACOX2,580.6103932,-3.739869548,0.116162537,2.29E-228,4.50E-226,8309,acyl-CoA oxidase 2,
GPAT3,2222.00352,-2.094745014,0.065156296,9.12E-228,1.78E-225,84803,glycerol-3-phosphate acyltransferase 3,
SPC25,451.6957916,-3.423576664,0.106615744,4.48E-227,8.69E-225,57405,SPC25 component of NDC80 kinetochore complex,
FBXO5,860.5149471,-2.381578217,0.074276731,1.41E-226,2.72E-224,26271,F-box protein 5,
POLQ,1001.920385,-3.050312307,0.0963072,3.67E-221,7.02E-219,10721,DNA polymerase theta,
BMF,1412.865619,3.66075748,0.116212812,5.99E-219,1.14E-216,90427,Bcl2 modifying factor,
LBH,1770.925351,2.203503945,0.070314988,1.30E-216,2.45E-214,81606,LBH regulator of WNT signaling pathway,
CHAF1A,2462.229783,-2.580571068,0.082648764,4.45E-215,8.34E-213,10036,chromatin assembly factor 1 subunit A,
WDHD1,2083.657324,-2.296167145,0.07375078,8.31E-214,1.54E-211,11169,WD repeat and HMG-box DNA binding protein 1,
GMNN,1320.106101,-2.005999837,0.064644241,2.33E-212,4.30E-210,51053,geminin DNA replication inhibitor,
MCM7,16189.47562,-1.793694265,0.05788888,9.27E-212,1.70E-209,4176,minichromosome maintenance complex component 7,
POC1A,1280.126859,-2.091500757,0.068076557,3.11E-208,5.67E-206,25886,POC1 centriolar protein A,
TRAIP,748.8351716,-2.358291408,0.076794001,4.18E-208,7.56E-206,10293,TRAF interacting protein,
PRIM1,1741.485572,-2.393490771,0.078133621,3.79E-207,6.81E-205,5557,DNA primase subunit 1,
ECT2,3408.519888,-1.728516248,0.056412242,4.67E-207,8.32E-205,1894,epithelial cell transforming 2,
DBF4,1312.774487,-2.434873768,0.079777331,1.03E-205,1.83E-203,10926,DBF4-CDC7 kinase regulatory subunit,
TP53INP1,458.8821147,3.257417503,0.1066939,1.09E-205,1.93E-203,94241,tumor protein p53 inducible nuclear protein 1,
CDC25A,1021.614623,-2.821976332,0.0927464,1.79E-204,3.12E-202,993,cell division cycle 25A,
RFC3,745.6362851,-2.472613293,0.082587703,4.93E-198,8.56E-196,5983,replication factor C subunit 3,
GBP1,2000.733965,1.856716015,0.062054743,1.18E-197,2.03E-195,2633,guanylate binding protein 1,
TPPP,554.0177071,3.078652332,0.103131321,1.11E-196,1.91E-194,11076,tubulin polymerization promoting protein,
CHAF1B,1081.467165,-1.982406874,0.066591585,1.01E-195,1.71E-193,8208,chromatin assembly factor 1 subunit B,
FILIP1L,3650.532219,2.618993235,0.088324351,2.96E-194,5.02E-192,11259,filamin A interacting protein 1 like,
NSD2,6065.057114,-1.531238095,0.051639883,4.86E-194,8.17E-192,7468,nuclear receptor binding SET domain protein 2,
NGFR,1080.511904,7.959724464,0.267816952,1.39E-193,2.31E-191,4804,nerve growth factor receptor,
SPRY4,403.5537041,-5.346975835,0.180465965,2.52E-193,4.18E-191,81848,sprouty RTK signaling antagonist 4,
RRM2,5621.883871,-3.407671205,0.115326004,4.23E-193,6.98E-191,6241,ribonucleotide reductase regulatory subunit M2,
CIT,1090.453756,-2.561631426,0.086967573,1.11E-191,1.82E-189,11113,citron rho-interacting serine/threonine kinase,
RAD54L,619.6373884,-2.823149588,0.095847544,1.18E-191,1.93E-189,8438,RAD54 like,
MMS22L,1100.023358,-2.13598929,0.072522811,1.30E-191,2.10E-189,253714,"MMS22 like, DNA repair protein",
GPNMB,7377.249483,3.438750695,0.117279497,4.09E-190,6.58E-188,10457,glycoprotein nmb,
POLE2,748.0557219,-2.657150314,0.09073095,1.21E-189,1.93E-187,5427,"DNA polymerase epsilon 2, accessory subunit",
RRM1,5634.495854,-1.802499794,0.061807839,7.53E-188,1.20E-185,6240,ribonucleotide reductase catalytic subunit M1,
CSE1L,9584.421925,-1.738075273,0.059587932,8.51E-188,1.34E-185,1434,chromosome segregation 1 like,
C14orf145,1356.912616,-2.41581671,0.082914769,1.15E-187,1.80E-185,NA,NA,
KIF24,516.5199132,-2.539728869,0.087226874,2.43E-187,3.80E-185,347240,kinesin family member 24,
GABARAPL1,1128.092113,2.471861072,0.085072205,1.32E-186,2.05E-184,23710,GABA type A receptor associated protein like 1,
FTCD,1351.154957,2.201422155,0.076098445,5.34E-185,8.25E-183,10841,formimidoyltransferase cyclodeaminase,
MCM2,8261.578632,-1.888630312,0.066032477,7.03E-181,1.08E-178,4171,minichromosome maintenance complex component 2,
YPEL5,3449.335461,2.130169766,0.074607751,1.33E-180,2.03E-178,51646,yippee like 5,
TPP1,8897.09874,1.558893436,0.054576106,3.70E-180,5.61E-178,1200,tripeptidyl peptidase 1,
DSCC1,761.3040991,-2.620611576,0.092081295,2.95E-179,4.46E-177,79075,DNA replication and sister chromatid cohesion 1,
MRTO4,3046.759226,-1.611501764,0.056646543,6.36E-179,9.54E-177,51154,"MRT4 homolog, ribosome maturation factor",
ARHGEF39,460.6341129,-2.866883296,0.100832474,8.26E-179,1.23E-176,84904,Rho guanine nucleotide exchange factor 39,
RFC5,1520.678879,-1.887533965,0.066377369,8.77E-179,1.30E-176,5985,replication factor C subunit 5,
SMC4,6442.939027,-2.323553093,0.082000818,1.15E-177,1.69E-175,10051,structural maintenance of chromosomes 4,
ZWILCH,1897.202144,-2.088644689,0.073797865,3.09E-177,4.53E-175,55055,zwilch kinetochore protein,
RAD51AP1,591.0250525,-2.730187552,0.096621317,1.09E-176,1.59E-174,10635,RAD51 associated protein 1,
MCM4,9080.401172,-2.042861674,0.072339747,1.73E-176,2.50E-174,4173,minichromosome maintenance complex component 4,
NCAPG2,4388.859923,-1.811593849,0.064265324,9.86E-176,1.42E-173,54892,non-SMC condensin II complex subunit G2,
DUSP15,779.3749209,7.319505009,0.259120013,3.03E-175,4.35E-173,128853,dual specificity phosphatase 15,
SGO1,363.2819055,-3.050341174,0.108915364,1.73E-173,2.47E-171,151648,shugoshin 1,
SCNN1A,712.7795582,3.853755328,0.137692671,2.46E-173,3.50E-171,6337,sodium channel epithelial 1 subunit alpha,
PHYH,1939.607067,1.738172658,0.062138182,4.75E-173,6.70E-171,5264,phytanoyl-CoA 2-hydroxylase,
POLA1,1619.850734,-1.638662351,0.058780767,8.58E-172,1.20E-169,5422,"DNA polymerase alpha 1, catalytic subunit",
CDCA7,1636.587201,-2.516061857,0.090364896,1.12E-171,1.57E-169,83879,cell division cycle associated 7,
SPC24,1227.300425,-2.335326144,0.084014501,5.39E-171,7.49E-169,147841,SPC24 component of NDC80 kinetochore complex,
Mar-04,930.4182446,-2.632097806,0.094827116,9.62E-171,1.33E-168,NA,NA,
GSG2,503.2105685,-2.860925969,0.103054863,1.24E-170,1.70E-168,NA,NA,
CMSS1,3013.705168,-1.807914733,0.065232187,5.38E-170,7.35E-168,84319,cms1 ribosomal small subunit homolog,
GPATCH4,4274.18837,-1.372652116,0.04954247,1.02E-169,1.39E-167,54865,G-patch domain containing 4 (gene/pseudogene),
SUV39H1,1077.374661,-1.994913362,0.072101305,2.02E-169,2.74E-167,6839,SUV39H1 histone lysine methyltransferase,
NCAPD3,2593.300603,-2.136673407,0.07725894,2.52E-169,3.39E-167,23310,non-SMC condensin II complex subunit D3,
KIF14,1021.84342,-3.812039257,0.138259506,2.19E-168,2.93E-166,9928,kinesin family member 14,
IGFBP3,1245.508304,2.372585877,0.086342705,2.98E-167,3.97E-165,3486,insulin like growth factor binding protein 3,
PCLO,2001.356899,2.293346837,0.083560505,6.59E-167,8.74E-165,27445,piccolo presynaptic cytomatrix protein,
MND1,527.6847995,-2.596620262,0.094720815,1.95E-166,2.57E-164,84057,meiotic nuclear divisions 1,
TOMM40,3880.22599,-1.786631022,0.065174223,2.22E-166,2.92E-164,10452,translocase of outer mitochondrial membrane 40,
AXL,5586.466568,-1.924173931,0.070358079,1.42E-165,1.86E-163,558,AXL receptor tyrosine kinase,
NEIL3,395.8664028,-3.766281905,0.137909277,5.39E-165,7.00E-163,55247,nei like DNA glycosylase 3,
GSN,5704.124501,2.344906939,0.086004769,7.65E-165,9.89E-163,2934,gelsolin,
CKS2,3356.345404,-2.090140487,0.076831255,5.45E-164,7.02E-162,1164,CDC28 protein kinase regulatory subunit 2,
NEDD9,1631.72068,2.197271947,0.08080396,7.77E-164,9.96E-162,4739,"neural precursor cell expressed, developmentally down-regulated 9",
TMEM86A,772.3047612,3.367555629,0.124045036,2.47E-163,3.15E-161,144110,transmembrane protein 86A,
NOLC1,14879.06027,-1.585099568,0.058398997,5.13E-163,6.51E-161,9221,nucleolar and coiled-body phosphoprotein 1,
SLFN13,1692.401867,-1.866156169,0.068928931,2.32E-162,2.92E-160,146857,schlafen family member 13,
ATAD5,550.4680333,-2.652672733,0.098202469,1.15E-161,1.44E-159,79915,ATPase family AAA domain containing 5,
CDC25C,559.1896365,-2.570844734,0.095251416,2.31E-161,2.89E-159,995,cell division cycle 25C,
CTNNAL1,5667.40133,-1.668812412,0.062395893,2.10E-158,2.61E-156,8727,catenin alpha like 1,
SLC43A2,2597.965244,2.661772546,0.099656381,3.26E-158,4.04E-156,124935,solute carrier family 43 member 2,
EME1,583.9666378,-2.571936144,0.096598021,3.71E-157,4.58E-155,146956,essential meiotic structure-specific endonuclease 1,
NUP93,6504.149847,-1.346751931,0.05055347,4.16E-157,5.11E-155,9688,nucleoporin 93,
IFITM10,834.217855,2.734510179,0.102750242,4.84E-157,5.91E-155,402778,interferon induced transmembrane protein 10,
TFDP1,3181.471602,-1.402578696,0.052819348,3.86E-156,4.70E-154,7027,transcription factor Dp-1,
MKI67,9014.029297,-3.683881356,0.138898082,4.02E-156,4.87E-154,4288,marker of proliferation Ki-67,
CENPF,6551.994904,-2.84358921,0.107344523,7.31E-156,8.81E-154,1063,centromere protein F,
NASP,5583.79892,-1.590244548,0.06000595,1.38E-155,1.65E-153,4678,nuclear autoantigenic sperm protein,
RFC2,3713.538089,-1.749352524,0.066092735,2.71E-155,3.24E-153,5982,replication factor C subunit 2,
CEP78,1649.109532,-1.49590079,0.056646141,1.67E-154,1.98E-152,84131,centrosomal protein 78,
KNSTRN,1826.488961,-2.179233114,0.08258765,1.67E-154,1.98E-152,90417,kinetochore localized astrin (SPAG5) binding protein,
STIL,1203.928509,-2.23455795,0.08480612,5.74E-154,6.76E-152,6491,STIL centriolar assembly protein,
KRT17,3212.957284,3.750431773,0.142459644,7.29E-154,8.55E-152,3872,keratin 17,
MCM5,4304.541478,-2.241293329,0.085119321,7.45E-154,8.71E-152,4174,minichromosome maintenance complex component 5,
TUBA1B,9735.351488,-1.786972633,0.067857697,8.58E-154,9.98E-152,10376,tubulin alpha 1b,
RFWD3,4635.93105,-1.576923039,0.059867248,9.29E-154,1.08E-151,55159,ring finger and WD repeat domain 3,
MTMR11,1648.833298,1.743334301,0.066258725,1.91E-153,2.20E-151,10903,myotubularin related protein 11,
UBE2C,3301.25099,-2.698430341,0.103165177,6.87E-152,7.89E-150,11065,ubiquitin conjugating enzyme E2 C,
TRA2B,7087.55083,-1.119147182,0.042778053,2.09E-151,2.39E-149,6434,transformer 2 beta homolog,
TCAM1P,389.0190743,-2.544048034,0.097415441,2.85E-151,3.24E-149,146771,"testicular cell adhesion molecule 1, pseudogene",
RP11-420L9.5,818.9916567,3.391721802,0.13019493,9.74E-151,1.10E-148,NA,NA,
AGT,559.7516409,3.417847302,0.13114716,1.23E-150,1.38E-148,183,angiotensinogen,
YPEL2,664.6608729,2.632243823,0.101116822,1.70E-150,1.91E-148,388403,yippee like 2,
DBF4B,936.4768174,-2.276874321,0.087674709,1.03E-149,1.15E-147,80174,DBF4B-CDC7 kinase regulatory subunit,
RENBP,828.2378828,3.537890778,0.136664637,6.79E-149,7.56E-147,5973,renin binding protein,
NPM3,2452.376742,-1.574821912,0.060920079,3.35E-148,3.72E-146,10360,nucleophosmin/nucleoplasmin 3,
ATP6V0D2,831.8583608,3.877195212,0.150371577,1.07E-147,1.18E-145,245972,ATPase H+ transporting V0 subunit d2,
E2F1,2456.74073,-2.355824324,0.091650304,8.34E-147,9.17E-145,1869,E2F transcription factor 1,
SLC17A5,692.1261726,2.218011197,0.086355318,1.85E-146,2.02E-144,26503,solute carrier family 17 member 5,
ZNF117,2408.059571,2.278195647,0.089159586,4.82E-145,5.26E-143,51351,zinc finger protein 117,
ATG9B,1562.899609,2.530574022,0.099195134,1.34E-144,1.45E-142,285973,autophagy related 9B,
ASS1,4595.758468,1.690642731,0.066362835,4.73E-144,5.12E-142,445,argininosuccinate synthase 1,
OPTN,5287.334678,1.721020494,0.067567316,5.27E-144,5.68E-142,10133,optineurin,
ZFYVE1,2412.704769,1.625937982,0.063931549,1.69E-143,1.81E-141,53349,zinc finger FYVE-type containing 1,
KNTC1,2265.565562,-1.637265244,0.064475146,4.06E-143,4.34E-141,9735,kinetochore associated 1,
SOX4,2728.274032,2.015912964,0.079678599,1.96E-142,2.09E-140,6659,SRY-box transcription factor 4,
PSMC3IP,453.0526293,-2.331205378,0.092124497,2.68E-142,2.84E-140,29893,PSMC3 interacting protein,
HELLS,1413.635805,-2.32003837,0.091690538,3.09E-142,3.26E-140,3070,"helicase, lymphoid specific",
CLSTN3,854.5662722,2.07187383,0.082027863,1.14E-141,1.20E-139,9746,calsyntenin 3,
EXOSC2,3250.283184,-1.46131899,0.057863415,1.49E-141,1.55E-139,23404,exosome component 2,
GINS3,1645.3732,-1.537450606,0.060878434,1.49E-141,1.55E-139,64785,GINS complex subunit 3,
VRK1,1656.291172,-2.133442498,0.084542872,1.53E-141,1.59E-139,7443,VRK serine/threonine kinase 1,
DSN1,2212.478247,-1.500126625,0.059426553,1.97E-141,2.04E-139,79980,DSN1 component of MIS12 kinetochore complex,
DNA2,927.4541376,-2.323069576,0.092134089,2.50E-141,2.57E-139,1763,DNA replication helicase/nuclease 2,
MCM8,2900.035471,-2.356369245,0.093388024,2.58E-141,2.65E-139,84515,minichromosome maintenance 8 homologous recombination repair factor,
GBP2,1655.45253,2.693353261,0.106930893,4.65E-141,4.76E-139,2634,guanylate binding protein 2,
PRR11,3252.802747,-2.597304374,0.103186766,6.89E-141,7.03E-139,55771,proline rich 11,
ARRDC3,5083.906358,1.713771986,0.068207241,3.45E-140,3.51E-138,57561,arrestin domain containing 3,
CENPK,745.4389135,-2.248388587,0.089653842,7.63E-140,7.71E-138,64105,centromere protein K,
GEN1,1442.97998,-1.65357182,0.065922161,9.94E-140,1.00E-137,348654,GEN1 Holliday junction 5' flap endonuclease,
